ACCOUNT,ACCOUNT,HOUSE_NO,STREET_DIR,STREET_NAM,STREET_SFX,STR_POST_D,STR_UNIT_T,STR_UNIT_N,ADDRESS,2005 Closed Violations Count,2005 Average Days to Close Violation,2007 Closed Violations Count,2007 Average Days to Close Violation,2008 Closed Violations Count,2008 Average Days to Close Violation,2009 Closed Violations Count,2009 Average Days to Close Violation,2010 Closed Violations Count,2010 Average Days to Close Violation,2011 Closed Violations Count,2011 Average Days to Close Violation,2012 Closed Violations Count,2012 Average Days to Close Violation,2013 Closed Violations Count,2013 Average Days to Close Violation,2014 Closed Violations Count,2014 Average Days to Close Violation,2015 Closed Violations Count,2015 Average Days to Close Violation,2016 Closed Violations Count,2016 Average Days to Close Violation,2017 Closed Violations Count,2017 Average Days to Close Violation,2018 Closed Violations Count,2018 Average Days to Close Violation,Total Closed Violations Count,Total Average Days to Close Violation,2013 Active Permit Count,2013 Active Permit Sum,2014 Active Permit Count,2014 Active Permit Sum,2015 Active Permit Count,2015 Active Permit Sum,2016 Active Permit Count,2016 Active Permit Sum,2017 Active Permit Count,2017 Active Permit Sum,2018 Active Permit Count,2018 Active Permit Sum,Total Active Permit Count,Total Active Permit Sum,2013 Completed Permits Count,2013 Completed Permit Sum,2014 Completed Permit Count,2014 Completed Permit Sum,2015 Completed Permit Count,2015 Completed Permit Sum,2016 Completed Permit Count,2016 Completed Permit Sum,2017 Completed Count Count,2017 Completed Permit Sum,2018 Completed Permit Count,2018 Completed Permit Sum,Total Completed Permit Count,Total Completed Permit Sum,1999 Open Code Violations,2000 Open Code Violations,2005 Open Code Violations,2007 Open Code Violations,2008 Open Code Violations,2009 Open Code Violations,2010 Open Code Violations,2011 Open Code Violations,2012 Open Code Violations,2013 Open Code Violations,2014 Open Code Violations,2015 Open Code Violations,2016 Open Code Violations,2017 Open Code Violations,2018 Open Code Violations,Total Open Code Violations
3332189200000,3332189200000,301,S,QUEEN,ST,,,,301 S QUEEN ST,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,1,3,0,0,0,0,0,0,0,0,2,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332346700000,3332346700000,307,S,QUEEN,ST,,,,307 S QUEEN ST,0,0,1,400,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,2,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332445300000,3332445300000,309,S,QUEEN,ST,,,,309 S QUEEN ST,0,0,1,141,1,10,0,0,0,0,0,0,1,14,1,129,2,27,0,0,1,92,0,0,0,0,7,62.85714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332453800000,3332453800000,311,S,QUEEN,ST,,,,311 S QUEEN ST,0,0,1,231,0,0,0,0,0,0,0,0,0,0,1,39,0,0,0,0,0,0,0,0,0,0,2,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332498400000,3332498400000,317,S,QUEEN,ST,,,,317 S QUEEN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,1,"4,590.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"4,590.00",,,,,,,,,,,,,,,,
3332521200000,3332521200000,313,S,QUEEN,ST,,,,313 S QUEEN ST,0,0,1,139,1,19,0,0,2,9,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,5,54.6,1,500.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332556300000,3332556300000,319,S,QUEEN,ST,,,,319 S QUEEN ST,0,0,3,124.6666667,1,4,0,0,0,0,0,0,0,0,1,540,1,9,0,0,0,0,0,0,0,0,6,154.5,1,805.00,0,0.00,0,0.00,1,"1,000.00",0,0.00,0,0.00,2,"1,805.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332652700000,3332652700000,533,,CHURCH,ST,,,,533 CHURCH ST,0,0,1,286,0,0,0,0,0,0,0,0,0,0,0,0,2,17.5,0,0,0,0,0,0,1,19,4,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332753900000,3332753900000,531,,CHURCH,ST,,,,531 CHURCH ST,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,,,,,,,,,,,,,,,2,"33,807.00",1,"7,717.00",0,0.00,0,0.00,0,0.00,0,0.00,3,"41,524.00",,,,,,,,,,,,,,,,
3332855100000,3332855100000,529,,CHURCH,ST,,,,529 CHURCH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,0,1,125,0,0,2,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332855400000,3332855400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332855410001,3332855410001,321,S,QUEEN,ST,,,,321 S QUEEN ST,0,0,0,0,0,0,1,22,0,0,0,0,0,0,1,38,0,0,0,0,0,0,0,0,0,0,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332855410002,3332855410002,323,S,QUEEN,ST,,,,323 S QUEEN ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,1,19,,,,,,,,,,,,,,,1,"1,500.00",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,"1,500.00",,,,,,,,,,,,,,,,
3332855410003,3332855410003,325,S,QUEEN,ST,,,,325 S QUEEN ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,1,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332887500000,3332887500000,535,,CHURCH,ST,,,,535 CHURCH ST,0,0,1,315,0,0,0,0,0,0,0,0,0,0,1,228,1,55,1,0,0,0,1,33,0,0,5,126.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
3332946300000,3332946300000,527,,CHURCH,ST,,,,527 CHURCH ST,0,0,1,32,1,626,1,696,0,0,0,0,0,0,0,0,0,0,2,9.5,0,0,0,0,0,0,5,274.6,0,0.00,0,0.00,0,0.00,1,"1,225.00",0,0.00,0,0.00,1,"1,225.00",1,"3,000.00",1,"2,090.00",0,0.00,0,0.00,0,0.00,0,0.00,2,"5,090.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3333037500000,3333037500000,525,,CHURCH,ST,,,,525 CHURCH ST,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,580,0,0,2,16.5,0,0,0,0,0,0,4,155.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3333138700000,3333138700000,523,,CHURCH,ST,,,,523 CHURCH ST,0,0,2,70.5,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,1,20,0,0,5,33.4,,,,,,,,,,,,,,,2,"23,700.00",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,"23,700.00",,,,,,,,,,,,,,,,
3333340800000,3333340800000,519,,CHURCH,ST,,,,519 CHURCH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3333466000000,3333466000000,534,,HOWARD,AVE,,,,534 HOWARD AVE,0,0,1,23,0,0,0,0,0,0,1,6,1,53,0,0,0,0,0,0,0,0,0,0,0,0,3,27.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,5
3333513300000,3333513300000,517,,CHURCH,ST,,,,517 CHURCH ST,0,0,2,160.5,0,0,0,0,0,0,0,0,0,0,1,15,1,42,2,17.5,0,0,0,0,1,32,7,63.57142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3333557200000,3333557200000,532,,HOWARD,AVE,,,,532 HOWARD AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93,1,14,0,0,1,112,3,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3333635000000,3333635000000,515,,CHURCH,ST,,,,515 CHURCH ST,0,0,0,0,0,0,1,0,2,356,0,0,0,0,1,35,1,1,1,0,0,0,0,0,0,0,6,124.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3333648500000,3333648500000,530,,HOWARD,AVE,,,,530 HOWARD AVE,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3333759600000,3333759600000,528,,HOWARD,AVE,,,,528 HOWARD AVE,0,0,1,14,1,14,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,129,4,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
3333766600000,3333766600000,513,,CHURCH,ST,,,,513 CHURCH ST,0,0,1,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,97,1,"24,560.00",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,"24,560.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3333840900000,3333840900000,526,,HOWARD,AVE,,,,526 HOWARD AVE,0,0,1,14,1,38,0,0,0,0,0,0,0,0,1,49,0,0,0,0,0,0,0,0,1,39,4,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3333898400000,3333898400000,511,,CHURCH,ST,,,,511 CHURCH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,162,0,0,1,0,1,2,0,0,0,0,4,81.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3333920600000,3333920600000,509,,CHURCH,ST,,,,509 CHURCH ST,0,0,0,0,0,0,0,0,0,0,1,20,1,380,1,252,3,10.66666667,3,5.666666667,0,0,0,0,0,0,9,77.88888889,0,0.00,0,0.00,1,"6,100.00",0,0.00,0,0.00,0,0.00,1,"6,100.00",,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,6
3333942100000,3333942100000,524,,HOWARD,AVE,,,,524 HOWARD AVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,1,"3,489.00",0,0.00,1,848.00,0,0.00,0,0.00,2,"4,337.00",,,,,,,,,,,,,,,,
3334011900000,3334011900000,507,,CHURCH,ST,,,,507 CHURCH ST,0,0,0,0,1,69,0,0,1,21,0,0,0,0,1,34,0,0,1,0,0,0,0,0,0,0,4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3334063200000,3334063200000,522,,HOWARD,AVE,,,,522 HOWARD AVE,0,0,1,228,1,55,1,32,0,0,0,0,0,0,1,35,0,0,4,13.75,0,0,0,0,0,0,8,50.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3334153600000,3334153600000,503,,CHURCH,ST,,,,503 CHURCH ST,0,0,0,0,1,57,0,0,1,26,0,0,0,0,1,294,0,0,2,6.5,1,23,0,0,1,32,7,63.57142857,,,,,,,,,,,,,,,1,"1,516.00",0,0.00,1,"18,700.00",0,0.00,0,0.00,0,0.00,2,"20,216.00",,,,,,,,,,,,,,,,
3334154500000,3334154500000,520,,HOWARD,AVE,,,,520 HOWARD AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,2,494.5,2,46.5,1,363,0,0,7,209.5714286,,,,,,,,,,,,,,,0,0.00,0,0.00,0,0.00,0,0.00,2,"21,758.00",0,0.00,2,"21,758.00",0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3
3334255700000,3334255700000,518,,HOWARD,AVE,,,,518 HOWARD AVE,0,0,1,16,0,0,0,0,1,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,3,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3334356900000,3334356900000,516,,HOWARD,AVE,,,,516 HOWARD AVE,0,0,0,0,0,0,0,0,0,0,0,0,1,73,1,0,3,41.33333333,0,0,1,11,0,0,1,61,7,38.42857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3
3334448400000,3334448400000,514,,HOWARD,AVE,,,,514 HOWARD AVE,0,0,1,63,0,0,0,0,0,0,0,0,0,0,1,61,0,0,0,0,1,11,0,0,1,19,4,38.5,,,,,,,,,,,,,,,0,0.00,0,0.00,1,"3,000.00",0,0.00,0,0.00,0,0.00,1,"3,000.00",,,,,,,,,,,,,,,,
3334469200000,3334469200000,314,S,CHRISTIAN,ST,,,,314 S CHRISTIAN ST,0,0,0,0,1,216,1,34,0,0,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,0,4,78.5,0,0.00,0,0.00,0,0.00,1,"54,236.00",0,0.00,1,0.00,2,"54,236.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3334590200000,3334590200000,512,,HOWARD,AVE,,,,512 HOWARD AVE,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3334637400000,3334637400000,439,,CHURCH,ST,,,,439 CHURCH ST,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3334677600000,3334677600000,316,S,CHRISTIAN,ST,,,,316 S CHRISTIAN ST,0,0,0,0,1,216,0,0,0,0,0,0,1,43,0,0,0,0,1,0,0,0,0,0,0,0,3,86.33333333,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.00,1,0.00,0,0.00,0,0.00,0,0.00,1,"54,236.00",0,0.00,0,0.00,1,"54,236.00",,,,,,,,,,,,,,,,
3334722000000,3334722000000,510,,HOWARD,AVE,,,,510 HOWARD AVE,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,2,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3334866100000,3334866100000,320,S,CHRISTIAN,ST,,,,320 S CHRISTIAN ST,0,0,0,0,1,216,0,0,0,0,0,0,1,64,0,0,0,0,0,0,1,4,0,0,0,0,3,94.66666667,,,,,,,,,,,,,,,0,0.00,1,"3,130.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"3,130.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3335024800000,3335024800000,322,S,CHRISTIAN,ST,,,,322 S CHRISTIAN ST,0,0,0,0,1,216,0,0,0,0,0,0,1,64,0,0,0,0,0,0,1,34,0,0,0,0,3,104.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3335060000000,3335060000000,435,,CHURCH,ST,,,,435 CHURCH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,0,0.00,0,0.00,0,0.00,0,0.00,1,900.00,0,0.00,1,900.00,,,,,,,,,,,,,,,,
3335173100000,3335173100000,429,,CHURCH,ST,,,,429 CHURCH ST,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,3.333333333,,,,,,,,,,,,,,,1,"10,385.00",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,"10,385.00",,,,,,,,,,,,,,,,
3335173600000,3335173600000,324,S,CHRISTIAN,ST,,,,324 S CHRISTIAN ST,0,0,1,70,1,216,0,0,0,0,0,0,1,64,0,0,0,0,1,0,1,66,0,0,0,0,5,83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3335185700000,3335185700000,437,,CHURCH,ST,,,,437 CHURCH ST,0,0,1,18,2,29,0,0,1,240,0,0,0,0,0,0,1,0,10,98.7,1,1,0,0,0,0,16,81.5,,,,,,,,,,,,,,,0,0.00,0,0.00,0,0.00,1,"4,200.00",1,"40,000.00",1,500.00,3,"44,700.00",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3335285300000,3335285300000,427,,CHURCH,ST,,,,427 CHURCH ST,0,0,2,39,3,54.66666667,2,3,1,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,28.77777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3335332500000,3335332500000,326,S,CHRISTIAN,ST,,,,326 S CHRISTIAN ST,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,1,0,1,34,0,0,0,0,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3335396600000,3335396600000,425,,CHURCH,ST,,,,425 CHURCH ST,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3335460900000,3335460900000,325,S,CHRISTIAN,ST,,,,325 S CHRISTIAN ST,0,0,0,0,1,216,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3335617000000,3335617000000,421,,CHURCH,ST,,,,421 CHURCH ST,0,0,1,7,0,0,0,0,1,1,0,0,0,0,1,40,4,73.25,1,35,4,9.25,1,24,0,0,13,33.61538462,,,,,,,,,,,,,,,0,0.00,1,"2,000.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"2,000.00",,,,,,,,,,,,,,,,
3335708300000,3335708300000,419,,CHURCH,ST,,,,419 CHURCH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,0,0,1,0,0,0,0,0,0,0,2,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3335720700000,3335720700000,417,,CHURCH,ST,,,,417 CHURCH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3335832900000,3335832900000,434,,HOWARD,AVE,,,,434 HOWARD AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3335852300000,3335852300000,415,,CHURCH,ST,,,,415 CHURCH ST,0,0,0,0,0,0,0,0,0,0,0,0,2,409,1,35,1,0,2,9,0,0,0,0,2,14,8,112.375,,,,,,,,,,,,,,,2,"11,100.00",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,"11,100.00",,,,,,,,,,,,,,,,
3335934200000,3335934200000,432,,HOWARD,AVE,,,,432 HOWARD AVE,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3335973800000,3335973800000,413,,CHURCH,ST,,,,413 CHURCH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,1,0,0,0,0,0,0,0,2,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3335996600000,3335996600000,430,,HOWARD,AVE,,,,430 HOWARD AVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
