GEOID,CBG,Count,Label
420710001001,1.001,173,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710001002,1.002,230,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710001003,1.003,832,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710002001,2.001,120,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710002002,2.002,599,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710003001,3.001,278,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710003002,3.002,174,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710003003,3.003,643,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710003004,3.004,590,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710004001,4.001,434,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710004002,4.002,139,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710004003,4.003,200,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710004004,4.004,162,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710005001,5.001,356,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710005002,5.002,394,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710005003,5.003,119,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710005004,5.004,7,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710006001,6.001,91,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710006002,6.002,39,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710006003,6.003,151,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710006004,6.004,74,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710007001,7.001,140,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710007002,7.002,382,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710007003,7.003,358,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710008001,8.001,78,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710008002,8.002,453,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710008003,8.003,616,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710008004,8.004,312,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710009001,9.001,106,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710009002,9.002,461,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710009003,9.003,550,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710009004,9.004,199,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710010001,10.001,521,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710010002,10.002,470,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710010003,10.003,62,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710010004,10.004,189,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710011001,11.001,817,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710011002,11.002,111,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710011003,11.003,36,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710012001,12.001,38,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710012002,12.002,36,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710012003,12.003,427,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710012004,12.004,80,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710014001,14.001,365,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710014002,14.002,603,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710014003,14.003,248,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710014004,14.004,736,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710118052,118.052,207,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710147001,147.001,564,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710147002,147.002,592,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710147003,147.003,699,Estimate of the # of people whose Income fell below the poverty level from Jan-Dec 2016
420710001001,1.001,0.36,Estimate of the % of people whose income fell below the poverty level from Jan-Dec 2016
420710001002,1.002,0.43,Estimate of the % of people whose income fell below the poverty level from Jan-Dec 2016
420710001003,1.003,0.56,Estimate of the % of people whose income fell below the poverty level from Jan-Dec 2016
420710002001,2.001,0.08,Estimate of the % of people whose income fell below the poverty level from Jan-Dec 2016
420710002002,2.002,0.33,Estimate of the % of people whose income fell below the poverty level from Jan-Dec 2016
420710003001,3.001,0.25,Estimate of the % of people whose income fell below the poverty level from Jan-Dec 2016
420710003002,3.002,0.19,Estimate of the % of people whose income fell below the poverty level from Jan-Dec 2016
420710003003,3.003,0.4,Estimate of the % of people whose income fell below the poverty level from Jan-Dec 2016
420710003004,3.004,0.35,Estimate of the % of people whose income fell below the poverty level from Jan-Dec 2016
420710004001,4.001,0.23,Estimate of the % of people whose income fell below the poverty level from Jan-Dec 2016
420710004002,4.002,0.37,Estimate of the % of people whose income fell below the poverty level from Jan-Dec 2016
420710004003,4.003,0.21,Estimate of the % of people whose income fell below the poverty level from Jan-Dec 2016
420710004004,4.004,0.22,Estimate of the % of people whose income fell below the poverty level from Jan-Dec 2016
420710005001,5.001,0.35,Estimate of the % of people whose income fell below the poverty level from Jan-Dec 2016
420710005002,5.002,0.4,Estimate of the % of people whose income fell below the poverty level from Jan-Dec 2016
420710005003,5.003,0.16,Estimate of the % of people whose income fell below the poverty level from Jan-Dec 2016
