Date,Code Violations,Permits Pulled
1/1/2007,69,NA
2/1/2007,15,NA
3/1/2007,38,NA
4/1/2007,77,NA
5/1/2007,45,NA
6/1/2007,68,NA
7/1/2007,46,NA
8/1/2007,26,NA
9/1/2007,26,NA
10/1/2007,35,NA
11/1/2007,16,NA
12/1/2007,23,NA
1/1/2008,48,NA
2/1/2008,34,NA
3/1/2008,15,NA
4/1/2008,17,NA
5/1/2008,82,NA
6/1/2008,56,NA
7/1/2008,17,NA
8/1/2008,20,NA
9/1/2008,17,NA
10/1/2008,15,NA
11/1/2008,11,NA
12/1/2008,6,NA
1/1/2009,16,NA
2/1/2009,28,NA
3/1/2009,26,NA
4/1/2009,26,NA
5/1/2009,25,NA
6/1/2009,23,NA
7/1/2009,64,NA
8/1/2009,51,NA
9/1/2009,65,NA
10/1/2009,43,NA
11/1/2009,0,NA
12/1/2009,28,NA
1/1/2010,16,NA
2/1/2010,15,NA
3/1/2010,6,NA
4/1/2010,44,NA
5/1/2010,30,NA
6/1/2010,36,NA
7/1/2010,31,NA
8/1/2010,70,NA
9/1/2010,56,NA
10/1/2010,20,NA
11/1/2010,13,NA
12/1/2010,24,NA
1/1/2011,11,NA
2/1/2011,11,NA
3/1/2011,50,NA
4/1/2011,27,NA
5/1/2011,36,NA
6/1/2011,58,NA
7/1/2011,24,NA
8/1/2011,35,NA
9/1/2011,45,NA
10/1/2011,16,NA
11/1/2011,31,NA
12/1/2011,13,NA
1/1/2012,62,NA
2/1/2012,51,NA
3/1/2012,43,NA
4/1/2012,96,NA
5/1/2012,32,NA
6/1/2012,44,NA
7/1/2012,37,NA
8/1/2012,37,NA
9/1/2012,56,NA
10/1/2012,27,NA
11/1/2012,21,NA
12/1/2012,51,NA
1/1/2013,14,3
2/1/2013,71,3
3/1/2013,20,3
4/1/2013,27,3
5/1/2013,13,9
6/1/2013,12,6
7/1/2013,37,4
8/1/2013,71,4
9/1/2013,44,1
10/1/2013,50,4
11/1/2013,14,4
12/1/2013,35,7
1/1/2014,52,4
2/1/2014,28,3
3/1/2014,26,2
4/1/2014,42,7
5/1/2014,38,4
6/1/2014,53,2
7/1/2014,71,4
8/1/2014,39,2
9/1/2014,34,4
10/1/2014,54,4
11/1/2014,34,7
12/1/2014,66,2
1/1/2015,8,3
2/1/2015,73,0
3/1/2015,48,2
4/1/2015,95,5
5/1/2015,69,2
6/1/2015,35,3
7/1/2015,87,5
8/1/2015,29,2
9/1/2015,66,5
10/1/2015,23,8
11/1/2015,15,2
12/1/2015,46,0
1/1/2016,20,6
2/1/2016,39,5
3/1/2016,22,3
4/1/2016,13,4
5/1/2016,42,5
6/1/2016,58,3
7/1/2016,23,4
8/1/2016,34,4
9/1/2016,18,4
10/1/2016,16,2
11/1/2016,28,3
12/1/2016,13,2
1/1/2017,20,2
2/1/2017,72,2
3/1/2017,6,4
4/1/2017,9,5
5/1/2017,11,4
6/1/2017,13,5
7/1/2017,31,2
8/1/2017,30,7
9/1/2017,21,8
10/1/2017,11,4
11/1/2017,24,5
12/1/2017,16,7
1/1/2018,25,6
2/1/2018,31,5
3/1/2018,40,8
4/1/2018,23,9
5/1/2018,21,8
6/1/2018,37,6
7/1/2018,14,5
